Provider,inp_claims,inp_total_reimbursed,inp_mean_reimbursed,inp_max_reimbursed,inp_mean_deductible,inp_mean_los,inp_unique_bene,outp_claims,outp_total_reimbursed,outp_mean_reimbursed,outp_mean_deductible,outp_unique_bene,avg_age,pct_male,pct_female,pct_renal,mean_ChronicCond_Alzheimer,mean_ChronicCond_Heartfailure,mean_ChronicCond_KidneyDisease,mean_ChronicCond_Cancer,mean_ChronicCond_ObstrPulmonary,mean_ChronicCond_Depression,mean_ChronicCond_Diabetes,mean_ChronicCond_IschemicHeart,mean_ChronicCond_Osteoporasis,mean_ChronicCond_rheumatoidarthritis,mean_ChronicCond_stroke,PotentialFraud,FraudLabel
PRV51001,5.0,97000.0,19400.0,42000.0,1068.0,5.0,5.0,20.0,7640.0,382.0,0.0,19.0,78.56865160848733,0.4,0.6,0.4,1.6,1.2,1.2,1.8,1.6,1.2,1.2,1.2,2.0,1.4,1.6,No,0
PRV51003,62.0,573000.0,9241.935483870968,57000.0,1068.0,5.161290322580645,53.0,70.0,32670.0,466.7142857142857,1.0,66.0,70.89417323530061,0.3387096774193548,0.6612903225806451,0.27419354838709675,1.4838709677419355,1.4193548387096775,1.3709677419354838,1.8870967741935485,1.6290322580645162,1.596774193548387,1.2096774193548387,1.1129032258064515,1.7903225806451613,1.6935483870967742,1.8870967741935485,Yes,1
PRV51004,,,,,,,,149.0,52170.0,350.13422818791946,2.0805369127516777,138.0,,,,,,,,,,,,,,,,No,0
PRV51005,,,,,,,,1165.0,280910.0,241.1244635193133,3.1759656652360513,495.0,,,,,,,,,,,,,,,,Yes,1
PRV51007,3.0,19000.0,6333.333333333333,10000.0,1068.0,5.333333333333333,3.0,69.0,14710.0,213.18840579710144,0.8695652173913043,56.0,78.83550079853981,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,2.0,2.0,1.3333333333333333,1.0,1.0,2.0,1.6666666666666667,1.3333333333333333,No,0
PRV51008,2.0,25000.0,12500.0,21000.0,1068.0,4.0,2.0,41.0,10630.0,259.2682926829268,4.390243902439025,34.0,51.62765229295003,0.5,0.5,0.0,1.5,2.0,1.5,1.5,1.5,2.0,1.5,1.0,2.0,2.0,2.0,No,0
PRV51011,1.0,5000.0,5000.0,5000.0,1068.0,5.0,1.0,57.0,11630.0,204.03508771929825,5.2631578947368425,52.0,97.83709787816564,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,No,0
PRV51012,,,,,,,,48.0,16890.0,351.875,2.0833333333333335,31.0,,,,,,,,,,,,,,,,No,0
PRV51013,,,,,,,,46.0,14880.0,323.4782608695652,5.0,44.0,,,,,,,,,,,,,,,,No,0
PRV51014,,,,,,,,30.0,10480.0,349.3333333333333,4.0,25.0,,,,,,,,,,,,,,,,No,0
PRV51015,,,,,,,,8.0,700.0,87.5,0.0,7.0,,,,,,,,,,,,,,,,No,0
